Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Day,Day_name,week,month,Total Claim Amount
SV62436,Washington,0,3,Bachelor,1/21/11,2,1,2,Divorced,L3,Offer4,Call Center,Four-Door Car,2,3041.791561,13789,79,8,49,0,1,4,Friday,3,1,379.2
YH23384,Arizona,1,1,Bachelor,1/26/11,2,0,2,Divorced,L3,Offer1,Agent,Four-Door Car,2,24127.50402,14072,71,13,3,0,2,2,Wednesday,4,1,511.2
TZ98966,Nevada,0,1,Bachelor,2/24/11,1,1,2,Single,L3,Offer1,Branch,Four-Door Car,2,2450.190996,0,73,4,44,3,1,3,Thursday,8,2,554.376763
HM55802,California,0,1,Bachelor,2/5/11,2,1,2,Married,L2,Offer2,Branch,Four-Door Car,2,2392.10789,17870,61,30,91,0,1,5,Saturday,5,2,439.2
FS42516,Oregon,0,1,College,1/29/11,3,0,2,Married,L3,Offer2,Call Center,Four-Door Car,3,5802.065978,97541,72,22,1,0,3,5,Saturday,4,1,389.185006
US89481,California,0,3,Bachelor,2/28/11,1,1,2,Single,L3,Offer1,Agent,Four-Door Car,1,3946.372085,0,111,15,47,0,1,0,Monday,9,2,799.2
HO30839,Washington,0,3,Higher Education,2/12/11,2,1,3,Married,L1,Offer1,Branch,SUV,2,5346.916576,10511,139,33,64,0,1,5,Saturday,6,2,516.237951
GE62437,Arizona,0,3,College,2/2/11,3,1,2,Single,L3,Offer1,Call Center,Four-Door Car,3,12902.56014,86584,111,33,54,2,2,2,Wednesday,5,2,532.8
EJ77678,Oregon,0,3,Higher Education,2/7/11,3,1,2,Married,L3,Offer2,Branch,Four-Door Car,1,3235.360468,75690,80,17,44,1,1,0,Monday,6,2,384.0
SV85652,Arizona,0,1,College,2/28/11,3,0,2,Married,L2,Offer4,Call Center,Four-Door Car,1,2454.58354,23158,63,4,6,1,1,0,Monday,9,2,322.294043
UL64533,Nevada,0,3,High School or Below,1/22/11,3,0,3,Married,L2,Offer2,Agent,Luxury,2,18975.45611,65999,237,1,14,0,6,5,Saturday,3,1,615.927769
PF41800,California,0,1,Bachelor,1/25/11,1,0,3,Married,L3,Offer1,Call Center,Four-Door Car,2,4715.321344,0,65,19,56,0,3,1,Tuesday,4,1,308.15089
AO98601,Washington,0,1,Bachelor,1/18/11,3,0,2,Married,L2,Offer1,Agent,Two-Door Car,1,5018.885233,54500,63,28,17,0,6,1,Tuesday,3,1,302.4
SK67821,Oregon,0,1,Bachelor,2/13/11,3,1,1,Married,L1,Offer3,Web,Four-Door Car,2,4932.916345,37260,62,19,42,0,8,6,Sunday,6,2,15.437681
YV55495,Arizona,0,1,High School or Below,1/15/11,3,1,3,Married,L1,Offer1,Branch,Four-Door Car,2,5744.229745,68987,71,11,40,0,6,5,Saturday,2,1,204.475147
KY38074,California,0,3,Bachelor,1/8/11,3,0,2,Married,L3,Offer1,Agent,Four-Door Car,1,13891.73567,42305,117,10,62,0,2,5,Saturday,1,1,561.6
DM79012,Oregon,0,3,Higher Education,2/6/11,3,1,2,Married,L3,Offer2,Web,Four-Door Car,1,7380.976717,65706,91,19,86,0,8,6,Sunday,5,2,436.8
CM61827,Oregon,0,3,Bachelor,1/25/11,1,0,2,Single,L2,Offer3,Agent,Two-Door Car,1,3090.034104,0,90,7,79,0,1,1,Tuesday,4,1,648.0
WC35801,Arizona,0,1,High School or Below,2/7/11,3,0,1,Divorced,L3,Offer1,Call Center,Four-Door Car,2,2521.633095,53243,66,4,15,2,1,0,Monday,6,2,157.397849
QG25316,Nevada,0,1,High School or Below,1/18/11,1,1,2,Married,L3,Offer3,Call Center,Two-Door Car,2,2652.061785,0,70,7,1,1,1,1,Tuesday,3,1,484.318536
MB98372,Oregon,1,1,College,1/11/11,3,1,1,Single,L3,Offer2,Agent,Two-Door Car,2,2771.045031,50071,71,3,32,0,1,1,Tuesday,2,1,18.918935
IL19217,California,1,3,Bachelor,1/28/11,3,1,2,Married,L2,Offer2,Agent,Four-Door Car,1,3939.00637,60021,99,12,28,0,1,4,Friday,4,1,882.871945
SR38658,Arizona,0,1,High School or Below,2/8/11,3,0,2,Married,L2,Offer4,Agent,Luxury,2,12231.87968,43244,103,15,16,0,2,1,Tuesday,6,2,494.4
DH41343,Washington,0,1,College,2/23/11,3,0,2,Married,L2,Offer2,Call Center,Four-Door Car,3,2443.665166,92834,61,15,56,0,1,2,Wednesday,8,2,292.8
HG65722,Oregon,0,3,Higher Education,1/25/11,2,1,1,Married,L2,Offer1,Branch,SUV,2,12819.10289,10105,172,5,4,3,3,1,Tuesday,4,1,0.517753
BU27331,Arizona,0,1,Bachelor,1/31/11,1,0,2,Single,L3,Offer3,Call Center,Four-Door Car,2,4468.510542,0,73,7,57,3,5,0,Monday,5,1,579.165954
XM45289,Oregon,0,1,High School or Below,1/2/11,3,1,2,Single,L2,Offer4,Agent,Two-Door Car,2,5514.344018,23218,71,7,10,0,4,6,Sunday,52,1,447.79344
KP34198,California,0,3,Bachelor,2/7/11,1,1,2,Married,L2,Offer2,Call Center,Four-Door Car,2,3343.875326,0,92,11,77,0,1,0,Monday,6,2,529.624084
SH90947,Arizona,0,1,High School or Below,1/18/11,1,1,2,Married,L2,Offer4,Branch,Four-Door Car,2,2294.478927,0,62,11,56,0,1,1,Tuesday,3,1,313.023175
WE95729,Oregon,0,1,College,1/17/11,3,0,2,Married,L2,Offer1,Agent,SUV,1,36707.42639,24804,104,1,28,0,2,0,Monday,3,1,593.830288
PY51963,California,1,1,Bachelor,1/11/11,3,1,2,Divorced,L1,Offer1,Web,SUV,2,33473.34946,33190,106,18,95,0,2,1,Tuesday,2,1,508.8
RB69909,Nevada,0,1,High School or Below,2/21/11,3,1,1,Married,L1,Offer4,Branch,Four-Door Car,2,7983.431709,36014,69,4,40,3,2,0,Monday,8,2,173.956072
XR95069,Washington,0,1,Bachelor,2/16/11,3,0,2,Single,L3,Offer4,Agent,Four-Door Car,2,4854.745666,29834,64,19,44,0,3,2,Wednesday,7,2,307.2
FR46645,California,0,3,Bachelor,1/17/11,2,0,2,Married,L2,Offer1,Branch,Four-Door Car,1,4293.997319,16701,113,20,26,0,1,0,Monday,3,1,831.625979
SY17488,Arizona,0,3,College,2/5/11,3,1,2,Divorced,L3,Offer3,Call Center,Four-Door Car,1,7164.395543,46623,91,1,53,0,3,5,Saturday,5,2,436.8
AP67935,California,0,1,College,2/13/11,3,0,3,Married,L2,Offer2,Branch,Four-Door Car,2,7619.5158,64749,64,24,59,0,2,6,Sunday,6,2,302.56519
FS37417,Arizona,0,1,High School or Below,2/23/11,1,1,2,Married,L2,Offer1,Call Center,SUV,1,3958.002823,0,101,29,12,0,1,2,Wednesday,8,2,484.8
ML29312,Oregon,0,3,High School or Below,1/28/11,2,1,2,Divorced,L3,Offer1,Call Center,SUV,2,4499.493252,16969,124,34,47,2,1,4,Friday,4,1,704.768111
UB61619,Oregon,0,3,Higher Education,2/28/11,2,1,2,Divorced,L1,Offer1,Agent,Four-Door Car,2,4059.567414,11621,108,4,98,0,1,0,Monday,9,2,518.4
CD86811,Arizona,1,1,Bachelor,1/2/11,2,0,2,Divorced,L1,Offer1,Agent,Four-Door Car,2,4458.113369,17622,65,1,36,1,3,6,Sunday,52,1,312.0
RU83859,California,0,3,Bachelor,1/22/11,2,1,2,Married,L3,Offer1,Call Center,Two-Door Car,1,8110.333139,11489,105,4,50,0,6,5,Saturday,3,1,504.0
FG63582,Oregon,0,3,Bachelor,1/15/11,1,0,2,Single,L3,Offer1,Agent,Two-Door Car,1,3339.764873,0,94,20,53,0,1,5,Saturday,2,1,863.327324
NN71951,California,0,1,High School or Below,1/27/11,3,1,1,Married,L3,Offer1,Agent,SUV,2,24261.01777,66525,100,0,86,0,2,3,Thursday,4,1,104.331355
WB37082,Arizona,0,1,Bachelor,1/23/11,1,1,2,Single,L3,Offer3,Branch,Four-Door Car,3,6613.973653,0,63,21,28,0,2,6,Sunday,3,1,676.391482
SM52139,Washington,0,1,College,1/31/11,3,0,2,Married,L3,Offer3,Web,Four-Door Car,2,2930.693543,33663,73,29,71,0,1,0,Monday,5,1,350.4
FL82372,Oregon,0,1,College,1/26/11,3,1,2,Divorced,L3,Offer1,Agent,SUV,2,8672.194272,22547,112,7,60,0,3,2,Wednesday,4,1,537.6
DP45816,Arizona,0,3,High School or Below,1/10/11,3,1,3,Married,L3,Offer4,Branch,Two-Door Car,1,11638.66926,61486,97,5,65,0,2,0,Monday,2,1,465.258644
GW33762,Oregon,1,3,Bachelor,1/27/11,1,1,2,Divorced,L3,Offer1,Call Center,Two-Door Car,3,6846.150323,0,95,13,20,0,5,3,Thursday,4,1,456.0
RZ33670,California,0,3,College,1/9/11,2,1,2,Married,L3,Offer3,Web,Four-Door Car,2,11727.77648,29879,102,17,0,0,2,6,Sunday,1,1,500.254235
PY70169,Oregon,0,1,High School or Below,2/24/11,3,0,1,Divorced,L3,Offer4,Agent,SUV,2,22643.83478,93011,113,17,12,0,2,3,Thursday,8,2,281.451042
MO91628,Oregon,0,1,Higher Education,2/11/11,3,0,1,Married,L2,Offer2,Web,Two-Door Car,3,2614.474305,65186,65,29,27,0,1,4,Friday,6,2,5.434505
HW87852,Oregon,0,1,Higher Education,2/12/11,2,0,2,Married,L1,Offer1,Agent,Four-Door Car,2,2451.752695,26840,64,1,47,2,1,5,Saturday,6,2,307.2
HB20453,Oregon,0,1,Bachelor,2/4/11,1,0,2,Single,L3,Offer1,Agent,Luxury,2,6781.270203,0,104,30,3,1,5,4,Friday,5,2,982.399613
BN87372,Oregon,1,1,Bachelor,1/18/11,3,0,2,Divorced,L3,Offer2,Branch,Two-Door Car,2,4974.801539,75644,65,5,68,3,9,1,Tuesday,3,1,467.803638
YX23800,Oregon,0,1,Bachelor,2/11/11,3,0,2,Married,L3,Offer2,Branch,Four-Door Car,1,8591.604933,38984,73,27,38,0,2,4,Friday,6,2,350.4
DZ87709,Oregon,0,1,High School or Below,2/1/11,3,1,1,Single,L1,Offer2,Call Center,Four-Door Car,2,5592.161392,71811,71,17,48,0,6,1,Tuesday,5,2,29.03416
XW13033,Nevada,0,1,College,2/15/11,3,0,2,Married,L1,Offer2,Agent,Four-Door Car,2,8009.472833,20961,67,20,33,0,2,1,Tuesday,7,2,321.6
LN31673,Washington,0,3,College,2/6/11,3,0,1,Married,L3,Offer1,Agent,Four-Door Car,2,11318.08982,38923,99,6,83,2,2,6,Sunday,5,2,115.728852
OM82309,California,0,1,Bachelor,2/27/11,3,0,1,Single,L3,Offer2,Branch,Luxury,1,58166.55351,61321,186,0,30,1,2,6,Sunday,8,2,427.63121
ZU35962,California,0,3,College,1/26/11,1,1,1,Single,L3,Offer3,Branch,Two-Door Car,3,8025.229358,0,77,20,26,0,2,2,Wednesday,4,1,25.807685
VH85817,California,1,1,High School or Below,2/26/11,3,0,2,Single,L3,Offer2,Call Center,Four-Door Car,2,5780.182197,51066,74,23,0,0,8,5,Saturday,8,2,787.993313
DT85712,California,0,1,Higher Education,1/27/11,3,0,2,Married,L1,Offer3,Branch,SUV,2,4118.539113,34378,102,12,54,0,1,3,Thursday,4,1,489.6
YJ88573,Nevada,0,1,Higher Education,1/16/11,3,0,2,Married,L3,Offer2,Call Center,Four-Door Car,3,2523.07015,43072,63,35,15,0,1,6,Sunday,2,1,302.4
SQ19467,Oregon,0,3,College,1/27/11,2,1,2,Single,L3,Offer2,Agent,Four-Door Car,1,6554.216396,25222,90,28,69,0,3,3,Thursday,4,1,475.623251
HF88410,Washington,0,1,High School or Below,2/28/11,3,0,2,Married,L2,Offer1,Call Center,Four-Door Car,2,7703.397294,36765,66,15,32,1,2,0,Monday,9,2,320.849072
ET79815,California,1,3,College,1/25/11,2,0,2,Married,L1,Offer1,Agent,Four-Door Car,2,5926.729379,23091,96,28,90,5,5,1,Tuesday,4,1,460.8
QC35222,California,0,1,Bachelor,1/1/11,3,1,3,Married,L2,Offer3,Web,Four-Door Car,2,2683.470677,48269,69,3,79,3,1,5,Saturday,52,1,282.151207
CJ15590,Oregon,0,1,Bachelor,2/1/11,3,1,2,Divorced,L2,Offer3,Branch,Four-Door Car,2,2695.182419,32720,67,13,12,0,1,1,Tuesday,5,2,321.6
OI48267,California,1,3,College,2/19/11,3,0,2,Married,L3,Offer1,Branch,Four-Door Car,2,6047.02516,20396,76,15,60,1,4,5,Saturday,7,2,364.8
JY67916,Oregon,0,3,College,1/27/11,2,0,2,Married,L3,Offer2,Branch,Two-Door Car,1,13171.01282,21513,119,21,81,1,2,3,Thursday,4,1,679.827592
OE75231,Washington,1,3,Bachelor,2/27/11,3,1,2,Married,L3,Offer2,Call Center,Two-Door Car,2,10656.88195,72540,88,7,3,0,2,6,Sunday,8,2,631.743039
CZ33664,Oregon,0,1,Bachelor,1/17/11,3,1,1,Married,L3,Offer1,Agent,Four-Door Car,2,2527.653796,80744,63,24,84,0,1,0,Monday,3,1,11.879037
WK30175,Oregon,0,1,Bachelor,2/10/11,3,0,2,Married,L1,Offer1,Branch,Two-Door Car,1,2672.095756,52822,67,23,88,0,1,3,Thursday,6,2,350.529033
ON44465,California,0,3,High School or Below,1/24/11,1,1,2,Single,L2,Offer1,Agent,Four-Door Car,2,5313.294035,0,77,8,10,1,9,0,Monday,4,1,863.3947
TV87155,Oregon,0,1,Bachelor,2/24/11,3,1,2,Married,L3,Offer1,Branch,Four-Door Car,3,20946.19251,69738,74,2,26,1,2,3,Thursday,8,2,492.127532
KH48895,Arizona,0,1,Higher Education,2/15/11,2,1,1,Married,L3,Offer1,Branch,SUV,2,8375.353929,17780,109,12,18,0,9,1,Tuesday,7,2,132.588288
NZ30757,California,0,1,Bachelor,2/16/11,2,0,2,Married,L2,Offer1,Agent,Four-Door Car,2,4801.661503,18107,62,29,11,0,8,2,Wednesday,7,2,297.6
RI22468,Arizona,0,1,Bachelor,1/22/11,3,1,3,Married,L1,Offer3,Web,Four-Door Car,2,5745.94334,57740,74,30,87,3,9,5,Saturday,3,1,269.905129
FZ30935,Oregon,0,3,College,2/25/11,3,0,2,Married,L2,Offer1,Agent,Two-Door Car,1,6066.115969,32627,76,11,60,0,7,4,Friday,8,2,380.036697
UG93476,California,1,1,College,1/11/11,1,1,2,Married,L3,Offer1,Agent,SUV,2,8002.308333,0,107,3,65,0,3,1,Tuesday,2,1,513.6
AB96670,California,1,1,College,1/31/11,1,0,2,Single,L1,Offer1,Branch,Four-Door Car,2,2393.915369,0,70,24,10,0,1,0,Monday,5,1,425.266308
XK64261,Oregon,0,1,Bachelor,1/12/11,3,0,1,Single,L3,Offer3,Call Center,Two-Door Car,2,4762.8179,65795,62,2,85,1,3,2,Wednesday,2,1,49.011099
EV68375,California,1,3,College,2/16/11,3,0,2,Married,L3,Offer2,Branch,Four-Door Car,2,4330.38602,60475,107,9,18,0,1,2,Wednesday,7,2,513.6
UN51653,California,0,3,High School or Below,2/9/11,1,1,2,Single,L3,Offer1,Web,SUV,2,9402.729769,0,130,28,88,0,4,2,Wednesday,6,2,936.0
TO96662,Oregon,0,3,Bachelor,1/19/11,3,1,1,Married,L3,Offer1,Call Center,Four-Door Car,1,6966.694527,41837,88,29,93,0,9,2,Wednesday,3,1,142.062768
MR52087,California,0,1,Bachelor,1/4/11,3,1,1,Married,L1,Offer3,Branch,Four-Door Car,2,7694.064293,32303,65,13,34,0,2,1,Tuesday,1,1,45.152521
DE75225,Oregon,0,1,High School or Below,1/9/11,1,0,2,Married,L1,Offer1,Agent,SUV,2,8717.561149,0,117,5,89,1,3,6,Sunday,1,1,561.6
EP80820,California,0,1,Bachelor,1/27/11,3,1,1,Married,L3,Offer1,Agent,Two-Door Car,2,5928.748528,40531,74,17,32,0,9,3,Thursday,4,1,30.567357
GU99037,Oregon,0,1,College,2/14/11,3,0,3,Married,L1,Offer4,Agent,Four-Door Car,2,2452.977288,79898,62,5,86,1,1,0,Monday,7,2,271.606799
WI57118,California,0,3,College,2/27/11,3,0,2,Married,L3,Offer4,Agent,Four-Door Car,1,6701.571657,56398,85,4,18,0,7,6,Sunday,8,2,408.0
YQ74870,Washington,0,3,High School or Below,2/12/11,3,0,2,Divorced,L2,Offer2,Web,Four-Door Car,1,7556.24034,35257,98,16,2,1,8,5,Saturday,6,2,470.4
MQ14219,Arizona,0,1,College,2/26/11,3,0,2,Married,L3,Offer2,Branch,SUV,2,8492.6988,27804,109,19,54,0,7,5,Saturday,8,2,784.8
KN20603,Oregon,0,1,Bachelor,2/20/11,3,0,2,Single,L3,Offer1,Agent,Four-Door Car,2,7713.494046,45506,66,16,32,2,2,6,Sunday,7,2,316.8
CR48975,Washington,0,1,High School or Below,2/2/11,3,0,2,Married,L2,Offer4,Branch,Four-Door Car,2,24084.5352,65196,67,0,54,0,2,2,Wednesday,5,2,396.082036
JI70886,California,0,1,High School or Below,2/15/11,1,0,2,Married,L2,Offer1,Agent,SUV,2,7290.069769,0,102,11,70,1,3,1,Tuesday,7,2,489.6
VF72557,Oregon,1,3,High School or Below,2/18/11,2,0,2,Divorced,L3,Offer2,Agent,SUV,2,4772.943848,20993,133,35,90,0,1,4,Friday,7,2,638.4
OX28638,Arizona,0,3,High School or Below,1/21/11,3,0,2,Married,L3,Offer2,Branch,Two-Door Car,2,6806.491395,37839,86,35,77,0,9,4,Friday,3,1,465.633954
SK55033,California,0,1,Bachelor,1/15/11,3,1,2,Single,L2,Offer3,Agent,Two-Door Car,2,2469.781334,92711,62,24,10,0,1,5,Saturday,2,1,368.400146
OO88645,California,0,3,College,2/5/11,3,1,3,Married,L2,Offer2,Call Center,Four-Door Car,2,3103.923041,74665,78,10,90,2,1,5,Saturday,5,2,236.902001
YT36855,Washington,0,3,College,2/24/11,1,0,2,Married,L2,Offer3,Web,Two-Door Car,2,2981.875575,0,83,26,89,0,1,3,Thursday,8,2,582.679087
CW82151,California,0,1,Bachelor,1/5/11,3,0,1,Married,L3,Offer1,Call Center,Luxury,2,8902.737595,46833,112,6,3,0,9,2,Wednesday,1,1,64.109663
DY22043,Oregon,0,1,High School or Below,1/28/11,3,1,2,Married,L3,Offer3,Branch,Two-Door Car,1,5499.447223,88768,68,17,77,0,7,4,Friday,4,1,326.4
SH36774,California,0,1,High School or Below,1/12/11,3,0,2,Single,L3,Offer3,Web,Luxury,2,15023.59858,28262,192,9,77,0,3,2,Wednesday,2,1,921.6
EM43724,Nevada,0,1,Bachelor,2/16/11,3,1,1,Married,L3,Offer1,Agent,Four-Door Car,2,2509.107875,33555,63,17,11,0,1,2,Wednesday,7,2,101.89645
FH85960,Oregon,0,3,College,1/3/11,3,0,2,Divorced,L2,Offer1,Call Center,Four-Door Car,2,31221.7481,42780,113,10,27,1,2,0,Monday,1,1,542.4
XA55993,Oregon,0,3,Higher Education,2/7/11,3,1,1,Single,L3,Offer2,Branch,Four-Door Car,2,3133.503432,58850,78,20,26,0,1,0,Monday,6,2,143.747794
GO36627,Arizona,0,3,College,1/13/11,3,0,3,Married,L2,Offer1,Branch,Four-Door Car,2,3837.451863,21880,97,29,37,0,1,3,Thursday,2,1,424.077159
QH48047,Oregon,1,1,College,1/3/11,2,0,2,Divorced,L2,Offer2,Web,Four-Door Car,2,11790.49617,25251,66,13,43,0,2,0,Monday,1,1,316.8
RB50392,Washington,0,1,Higher Education,2/17/11,1,1,1,Married,L1,Offer2,Agent,Four-Door Car,2,7838.068321,0,69,9,12,0,2,3,Thursday,7,2,2.704934
UH65059,Arizona,0,1,High School or Below,1/21/11,3,0,2,Married,L3,Offer1,Agent,Luxury,2,4305.808345,24188,109,14,82,0,1,4,Friday,3,1,523.2
FV21968,Nevada,0,1,Bachelor,1/26/11,3,1,1,Married,L2,Offer1,Branch,Four-Door Car,2,5973.976904,41611,74,14,8,0,8,2,Wednesday,4,1,113.801497
QA87025,Oregon,0,1,Bachelor,1/31/11,3,1,3,Married,L3,Offer1,Call Center,Four-Door Car,2,5670.442396,28406,72,16,35,1,4,0,Monday,5,1,192.87572
TQ13499,Arizona,0,3,College,1/2/11,3,0,2,Married,L3,Offer1,Agent,Four-Door Car,1,4731.749346,69833,118,32,99,0,1,6,Sunday,52,1,828.662719
BU44523,Arizona,0,1,High School or Below,2/7/11,1,1,2,Single,L2,Offer1,Web,Four-Door Car,1,8026.379641,0,74,15,91,0,2,0,Monday,6,2,532.8
MS41162,Arizona,0,1,High School or Below,1/26/11,1,0,2,Single,L3,Offer1,Agent,SUV,2,4022.963529,0,117,6,1,0,1,2,Wednesday,4,1,975.107098
PU25891,Oregon,0,1,High School or Below,1/11/11,3,1,1,Married,L2,Offer1,Branch,Luxury,2,9618.310865,80536,119,5,83,0,3,1,Tuesday,2,1,53.798708
RB81636,Washington,0,1,College,1/15/11,1,1,2,Single,L2,Offer2,Agent,Four-Door Car,1,2274.775451,0,63,2,5,0,1,5,Saturday,2,1,606.642452
SX26335,Oregon,0,3,College,2/8/11,3,1,3,Married,L3,Offer4,Branch,Four-Door Car,2,9552.926922,97732,79,0,70,0,2,1,Tuesday,6,2,289.9122
AZ95587,Arizona,0,3,Bachelor,1/11/11,3,1,3,Single,L3,Offer3,Branch,Four-Door Car,1,10388.55323,61222,89,20,55,0,2,1,Tuesday,2,1,392.604371
DS81757,Oregon,0,1,College,1/9/11,1,0,2,Single,L1,Offer4,Web,Two-Door Car,3,2470.121222,0,74,7,20,0,1,6,Sunday,1,1,721.242206
OJ94107,Arizona,0,3,Higher Education,2/4/11,3,0,3,Married,L2,Offer1,Call Center,SUV,2,5619.068508,50335,140,9,54,0,1,4,Friday,5,2,456.52385
LP84436,California,0,3,High School or Below,1/21/11,1,1,2,Single,L2,Offer3,Branch,Luxury,2,9047.119209,0,127,30,11,0,6,4,Friday,3,1,1087.995426
YV64727,Washington,0,3,High School or Below,2/16/11,3,0,2,Married,L3,Offer3,Agent,SUV,2,6692.143668,63221,168,28,49,0,1,2,Wednesday,7,2,806.4
LM19287,Oregon,1,3,High School or Below,2/24/11,1,1,2,Married,L1,Offer1,Agent,Four-Door Car,3,3731.504584,0,96,31,34,0,1,3,Thursday,8,2,460.8
ZU18643,Nevada,0,3,Bachelor,1/18/11,3,0,3,Married,L2,Offer4,Web,Four-Door Car,2,3660.770258,64495,92,34,30,0,1,1,Tuesday,3,1,251.992083
AZ82578,California,0,1,College,1/30/11,1,1,2,Married,L3,Offer1,Call Center,Four-Door Car,2,7928.829252,0,72,7,75,0,2,6,Sunday,4,1,345.6
XC67861,Arizona,0,1,Bachelor,1/9/11,3,1,2,Divorced,L2,Offer1,Call Center,Two-Door Car,2,5011.751577,28859,67,24,51,3,4,6,Sunday,1,1,321.6
YC43143,Arizona,0,3,High School or Below,2/1/11,3,1,1,Married,L3,Offer2,Web,Four-Door Car,2,7988.258292,77330,99,0,21,0,3,1,Tuesday,5,2,99.257608
EK59571,Oregon,1,3,College,2/28/11,1,0,2,Married,L2,Offer1,Branch,Four-Door Car,3,3885.456401,0,105,3,92,0,1,0,Monday,9,2,504.0
GD83998,Washington,0,1,Bachelor,1/31/11,3,0,2,Single,L2,Offer4,Branch,Four-Door Car,1,2659.337982,24495,70,29,65,0,1,0,Monday,5,1,336.0
WA25797,Washington,1,1,High School or Below,2/17/11,3,0,1,Married,L3,Offer2,Agent,Luxury,2,8564.768226,95697,107,29,29,0,9,3,Thursday,7,2,178.006524
PD27940,Arizona,0,3,High School or Below,2/12/11,2,0,2,Married,L3,Offer4,Agent,SUV,2,4885.162511,26372,126,11,7,0,1,5,Saturday,6,2,604.8
